*.uuid,*.event,*.properties.$feature_flag,*.properties.$configured_session_timeout_ms,*.properties.token,*.properties.$config_defaults,*.properties.$lib_version,*.properties.$sdk_debug_replay_event_trigger_status,*.properties.$session_entry_referrer,*.properties.$screen_height,*.properties.$process_person_profile,*.properties.$console_log_recording_enabled_server_side,*.properties.$host,*.properties.$replay_minimum_duration,*.properties.$session_recording_network_payload_capture.capturePerformance.network_timing,*.properties.$session_recording_network_payload_capture.capturePerformance.web_vitals,*.properties.$session_recording_network_payload_capture.capturePerformance.web_vitals_allowed_metrics,*.properties.$sdk_debug_replay_internal_buffer_length,*.properties.$sdk_debug_replay_url_trigger_status,*.properties.$browser_version,*.properties.distinct_id,*.properties.$web_vitals_allowed_metrics,*.properties.$session_recording_start_reason,*.properties.$device_type,*.properties.$browser_language,*.properties.$replay_sample_rate,*.properties.$session_entry_host,*.properties.$sdk_debug_session_start,*.properties.$pageview_id,*.properties.$browser,*.properties.$pathname,*.properties.$screen_width,*.properties.$autocapture_disabled_server_side,*.properties.$session_entry_pathname,*.properties.$active_feature_flags.0,*.properties.$device,*.properties.$session_id,*.properties.$session_entry_referring_domain,*.properties.$lib,*.properties.$current_url,*.properties.$sdk_debug_retry_queue_size,*.properties.$lib_rate_limit_remaining_tokens,*.properties.$feature_flag_version,*.properties.$feature_flag_reason,*.properties.$os,*.properties.$referrer,*.properties.$device_id,*.properties.$recording_status,*.properties.$sdk_debug_current_session_duration,*.properties.$feature/header-color-test,*.properties.$feature_flag_response,*.properties.$feature_flag_bootstrapped_response,*.properties.$timezone_offset,*.properties.$sdk_debug_replay_linked_flag_trigger_status,*.properties.$feature_flag_id,*.properties.$replay_script_config,*.properties.$browser_language_prefix,*.properties.$initialization_time,*.properties.$used_bootstrap_value,*.properties.$time,*.properties.$is_identified,*.properties.$raw_user_agent,*.properties.$window_id,*.properties.$exception_capture_enabled_server_side,*.properties.$web_vitals_enabled_server_side,*.properties.$referring_domain,*.properties.$dead_clicks_enabled_server_side,*.properties.$feature_flag_payload,*.properties.$session_recording_masking,*.properties.$feature_flag_bootstrapped_payload,*.properties.$sdk_debug_replay_remote_trigger_matching_config,*.properties.$sdk_debug_replay_internal_buffer_size,*.properties.$insert_id,*.properties.$session_entry_url,*.properties.$timezone,*.properties.$viewport_height,*.properties.$viewport_width,*.properties.$feature_flag_request_id,*.properties.$ip,*.properties.$sent_at,*.properties.$geoip_city_name,*.properties.$geoip_country_name,*.properties.$geoip_country_code,*.properties.$geoip_continent_name,*.properties.$geoip_continent_code,*.properties.$geoip_postal_code,*.properties.$geoip_latitude,*.properties.$geoip_longitude,*.properties.$geoip_accuracy_radius,*.properties.$geoip_time_zone,*.properties.$geoip_subdivision_1_code,*.properties.$geoip_subdivision_1_name,*.properties.$transformations_succeeded.0,*.timestamp,*.team_id,*.distinct_id,*.elements_chain,*.created_at,event,person_display_name -- Person .display_name,person_display_name -- Person .id,"coalesce(properties.$current_url, properties.$screen_name) -- Url / Screen",properties.$lib,properties.$feature_flag_response,timestamp
0197c3b6-4ea1-764e-adec-79ca4ba944f7,$feature_flag_called,header-color-test,1800000,phc_80IYU4IqrK9HQFrWkUQWj7Xoj6MLJgH5tm7X9YAwtB4,unset,1.256.0,trigger_disabled,$direct,824,False,True,spacex-frontend.onrender.com,,True,True,,0,trigger_disabled,138,0197c3b6-4c4f-7d61-aeb8-dd29f922ed08,,recording_initialized,Mobile,pt-BR,,spacex-frontend.onrender.com,1751335193677,0197c3b6-4c62-742e-a518-a5b7b14a83ee,Chrome,/,385,False,/,header-color-test,Android,0197c3b6-4c4d-7ecd-aedd-0cfbd4303b45,$direct,web,https://spacex-frontend.onrender.com/,0,99,5,Matched condition set 1,Android,$direct,0197c3b6-4c4f-7d61-aeb8-dd29f922ed08,active,,variant,variant,,180,trigger_disabled,156560,,pt,2025-07-01T01:59:53.676Z,False,1751335194.274,False,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36",0197c3b6-4c4e-74cb-b600-d141f063389d,False,True,$direct,False,,,,,0,0ck3lfuioi7dllk0,https://spacex-frontend.onrender.com/,America/Sao_Paulo,692,384,e0ce4b8a-89b4-4fbb-a597-34a2a9b2f1c4,191.186.8.99,2025-07-01T01:59:56.681Z,Rio das Ostras,Brazil,BR,South America,SA,28890,-22.4549,-41.9531,20,America/Sao_Paulo,RJ,Rio de Janeiro,GeoIP (0197c22f-56f1-0000-1ba5-11ec261b0717),2025-07-01 01:59:54.689000+00:00,188988,0197c3b6-4c4f-7d61-aeb8-dd29f922ed08,,2025-07-01 01:59:57.727000+00:00,$feature_flag_called,0197c3b6-4c4f-7d61-aeb8-dd29f922ed08,9d24dc58-262e-5e84-b8ac-1c5cb029ecac,https://spacex-frontend.onrender.com/,web,variant,2025-07-01 01:59:54.689000+00:00
0197c3b4-0859-77ae-823e-7dd1bef903c2,$feature_flag_called,header-color-test,1800000,phc_80IYU4IqrK9HQFrWkUQWj7Xoj6MLJgH5tm7X9YAwtB4,unset,1.256.0,trigger_disabled,$direct,1080,False,True,spacex-frontend.onrender.com,,True,True,,0,trigger_disabled,134,0197c3b4-0602-7465-bec8-6640799006c4,,recording_initialized,Desktop,pt-BR,,spacex-frontend.onrender.com,1751335044608,0197c3b4-0608-7f18-9fd3-bbedf64575e8,Chrome,/,1920,False,/,header-color-test,,0197c3b4-0600-7ea1-bcf6-feb6fc06bd07,$direct,web,https://spacex-frontend.onrender.com/,0,99,5,Matched condition set 1,Linux,$direct,0197c3b4-0602-7465-bec8-6640799006c4,active,,variant,variant,,180,trigger_disabled,156560,,pt,2025-07-01T01:57:24.607Z,False,1751335045.209,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",0197c3b4-0600-7ea1-bcf6-feb74d1ea072,False,True,$direct,False,,,,,0,aux7d2clnk0alyed,https://spacex-frontend.onrender.com/,America/Sao_Paulo,961,1854,67ccdda6-1ef3-4c93-8213-f0b00debe0a2,191.186.8.99,2025-07-01T01:57:27.611Z,Rio das Ostras,Brazil,BR,South America,SA,28890,-22.4549,-41.9531,20,America/Sao_Paulo,RJ,Rio de Janeiro,GeoIP (0197c22f-56f1-0000-1ba5-11ec261b0717),2025-07-01 01:57:25.259000+00:00,188988,0197c3b4-0602-7465-bec8-6640799006c4,,2025-07-01 01:57:27.975000+00:00,$feature_flag_called,0197c3b4-0602-7465-bec8-6640799006c4,57991f23-a1e2-5db1-8790-728af76f5cc2,https://spacex-frontend.onrender.com/,web,variant,2025-07-01 01:57:25.259000+00:00
0197c388-7005-7e6a-b2b2-91e7c4ce91d9,$feature_flag_called,header-color-test,1800000,phc_80IYU4IqrK9HQFrWkUQWj7Xoj6MLJgH5tm7X9YAwtB4,unset,1.256.0,trigger_disabled,$direct,1080,False,True,spacex-frontend.onrender.com,,True,True,,0,trigger_disabled,134,0197c388-6dcf-7228-8d01-ad1bbaf147f3,,recording_initialized,Desktop,pt-BR,,spacex-frontend.onrender.com,1751332187598,0197c388-6dd7-7a05-9f9f-464c43cca5a5,Chrome,/,1920,False,/,header-color-test,,0197c388-6dce-71e1-b438-1cc115142754,$direct,web,https://spacex-frontend.onrender.com/,0,99,5,Matched condition set 1,Linux,$direct,0197c388-6dcf-7228-8d01-ad1bbaf147f3,active,,control,control,,180,trigger_disabled,156560,,pt,2025-07-01T01:09:47.597Z,False,1751332188.166,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",0197c388-6dce-71e1-b438-1cc2dd94c275,False,True,$direct,False,,,,,0,1luqg0yl50r9agjx,https://spacex-frontend.onrender.com/,America/Sao_Paulo,961,1854,cbb69809-cc43-4793-bbb3-21dbeefeea3d,191.186.8.99,2025-07-01T01:09:50.601Z,Rio das Ostras,Brazil,BR,South America,SA,28890,-22.4549,-41.9531,20,America/Sao_Paulo,RJ,Rio de Janeiro,GeoIP (0197c22f-56f1-0000-1ba5-11ec261b0717),2025-07-01 01:09:48.237000+00:00,188988,0197c388-6dcf-7228-8d01-ad1bbaf147f3,,2025-07-01 01:09:51.061000+00:00,$feature_flag_called,0197c388-6dcf-7228-8d01-ad1bbaf147f3,1577997a-c319-556f-9c52-cc828d8683d1,https://spacex-frontend.onrender.com/,web,control,2025-07-01 01:09:48.237000+00:00
0197c386-25a8-7729-afa6-080f6367e6ae,$feature_flag_called,header-color-test,1800000,phc_80IYU4IqrK9HQFrWkUQWj7Xoj6MLJgH5tm7X9YAwtB4,unset,1.256.0,trigger_disabled,https://spacex-frontend.onrender.com/,1080,False,True,spacex-frontend.onrender.com,,True,True,,0,trigger_disabled,134,0197c386-227f-7143-8fbd-0d034978b8e5,,recording_initialized,Desktop,pt-BR,,spacex-frontend.onrender.com,1751332037246,0197c386-2286-7ff9-b86b-837ac13b605b,Chrome,/,1920,False,/,header-color-test,,0197c386-227e-79e1-aa5f-24aac82edba7,spacex-frontend.onrender.com,web,https://spacex-frontend.onrender.com/,0,99,5,Matched condition set 1,Linux,https://spacex-frontend.onrender.com/,0197c386-227f-7143-8fbd-0d034978b8e5,active,,control,control,,180,trigger_disabled,156560,,pt,2025-07-01T01:07:17.245Z,False,1751332038.057,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",0197c386-227e-79e1-aa5f-24abda94852f,False,True,spacex-frontend.onrender.com,False,,,,,0,ht8ydjx7drngzmfm,https://spacex-frontend.onrender.com/,America/Sao_Paulo,961,1854,1929a0ff-857a-4901-a0a0-9043fdaf73be,191.186.8.99,2025-07-01T01:07:20.25Z,Rio das Ostras,Brazil,BR,South America,SA,28890,-22.4549,-41.9531,20,America/Sao_Paulo,RJ,Rio de Janeiro,GeoIP (0197c22f-56f1-0000-1ba5-11ec261b0717),2025-07-01 01:07:18.128000+00:00,188988,0197c386-227f-7143-8fbd-0d034978b8e5,,2025-07-01 01:07:20.551000+00:00,$feature_flag_called,0197c386-227f-7143-8fbd-0d034978b8e5,f34d667f-ec56-556b-87a3-89bf0e8c4a2c,https://spacex-frontend.onrender.com/,web,control,2025-07-01 01:07:18.128000+00:00
0197c382-3858-7549-ae81-8142a82b6b29,$feature_flag_called,header-color-test,1800000,phc_80IYU4IqrK9HQFrWkUQWj7Xoj6MLJgH5tm7X9YAwtB4,unset,1.256.0,trigger_disabled,https://localhost:5173/,1080,False,True,localhost:5173,,True,True,,0,trigger_disabled,134,0197c232-040e-7adf-b66e-6f7a6d976b8e,,recording_initialized,Desktop,pt-BR,,localhost:5173,1751330542328,0197c382-3783-722c-bc44-a095374c9529,Chrome,/,1920,False,/,header-color-test,,0197c36f-52fa-7b34-a442-3292782e3999,localhost:5173,web,https://localhost:5173/,0,99,5,Matched condition set 1,Linux,https://localhost:5173/,,active,,control,control,,180,trigger_disabled,156560,,pt,2025-07-01T01:03:00.459Z,False,1751331780.696,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",0197c382-35cd-7220-870e-e9181938f03e,False,True,localhost:5173,False,,,,,0,6owefp739ewtm40y,https://localhost:5173/,America/Sao_Paulo,661,1854,26132540-4170-4961-a0f4-b61312e1505f,191.186.8.99,2025-07-01T01:03:03.463Z,Rio das Ostras,Brazil,BR,South America,SA,28890,-22.4549,-41.9531,20,America/Sao_Paulo,RJ,Rio de Janeiro,GeoIP (0197c22f-56f1-0000-1ba5-11ec261b0717),2025-07-01 01:03:00.774000+00:00,188988,0197c232-040e-7adf-b66e-6f7a6d976b8e,,2025-07-01 01:03:03.717000+00:00,$feature_flag_called,0197c232-040e-7adf-b66e-6f7a6d976b8e,4de91578-5351-5a3a-87d7-aaea1cceb29f,https://localhost:5173/,web,control,2025-07-01 01:03:00.774000+00:00
0197c335-7a52-7c4f-9fd4-d847fa957351,$feature_flag_called,header-color-test,1800000,phc_80IYU4IqrK9HQFrWkUQWj7Xoj6MLJgH5tm7X9YAwtB4,unset,1.256.0,trigger_disabled,$direct,1080,False,True,localhost:5173,,True,True,,0,trigger_disabled,134,0197c232-040e-7adf-b66e-6f7a6d976b8e,,recording_initialized,Desktop,pt-BR,,localhost:5173,1751326750407,0197c335-76ce-7e2c-8dd1-dd0a0c502a9b,Chrome,/,1920,False,/,header-color-test,,0197c335-76c7-7532-868d-6fc1e645ca0b,$direct,web,http://localhost:5173/,0,99,5,Matched condition set 1,Linux,$direct,,active,,control,control,,180,trigger_disabled,156560,,pt,2025-06-30T23:39:10.406Z,False,1751326751.315,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",0197c335-76c7-7532-868d-6fc278910597,False,True,$direct,False,,,,,0,24fuiq1zmjr15z1d,http://localhost:5173/,America/Sao_Paulo,961,1854,f1479809-3e25-4c9f-9fab-ca42b2cdc52b,191.186.8.99,2025-06-30T23:39:13.409Z,Rio das Ostras,Brazil,BR,South America,SA,28890,-22.4549,-41.9531,20,America/Sao_Paulo,RJ,Rio de Janeiro,GeoIP (0197c22f-56f1-0000-1ba5-11ec261b0717),2025-06-30 23:39:11.479000+00:00,188988,0197c232-040e-7adf-b66e-6f7a6d976b8e,,2025-06-30 23:39:13.830000+00:00,$feature_flag_called,0197c232-040e-7adf-b66e-6f7a6d976b8e,4de91578-5351-5a3a-87d7-aaea1cceb29f,http://localhost:5173/,web,control,2025-06-30 23:39:11.479000+00:00
0197c2ec-0418-7ad0-a67c-1057cd389a68,$feature_flag_called,header-color-test,1800000,phc_80IYU4IqrK9HQFrWkUQWj7Xoj6MLJgH5tm7X9YAwtB4,unset,1.256.0,trigger_disabled,$direct,1080,False,True,localhost:5174,,True,True,,0,trigger_disabled,134,0197c232-040e-7adf-b66e-6f7a6d976b8e,,recording_initialized,Desktop,pt-BR,,localhost:5174,1751319476324,0197c2ec-00c1-73da-9a70-da8000eb2ff9,Chrome,/,1920,False,/,header-color-test,,0197c2c6-7864-7797-b19f-045c8e062dbf,$direct,web,https://localhost:5174/,0,99,5,Matched condition set 1,Linux,$direct,,active,,control,control,,180,trigger_disabled,156560,,pt,2025-06-30T22:18:56.050Z,False,1751321936.921,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",0197c2ec-00b3-7c65-bbe0-9d4c05895092,False,True,$direct,False,,,,,0,9byk3t6un8acg7qi,https://localhost:5174/,America/Sao_Paulo,961,1854,61e2fbe8-d662-4315-8194-5a427defbfb9,191.186.8.99,2025-06-30T22:18:59.168Z,Rio das Ostras,Brazil,BR,South America,SA,28890,-22.4549,-41.9531,20,America/Sao_Paulo,RJ,Rio de Janeiro,GeoIP (0197c22f-56f1-0000-1ba5-11ec261b0717),2025-06-30 22:18:57.186000+00:00,188988,0197c232-040e-7adf-b66e-6f7a6d976b8e,,2025-06-30 22:18:59.596000+00:00,$feature_flag_called,0197c232-040e-7adf-b66e-6f7a6d976b8e,4de91578-5351-5a3a-87d7-aaea1cceb29f,https://localhost:5174/,web,control,2025-06-30 22:18:57.186000+00:00
0197c279-f9de-7866-b641-12dbafbbb81b,$feature_flag_called,header-color-test,1800000,phc_80IYU4IqrK9HQFrWkUQWj7Xoj6MLJgH5tm7X9YAwtB4,unset,1.256.0,trigger_disabled,$direct,1080,False,True,localhost:5173,,True,True,,0,trigger_disabled,134,0197c279-f66d-7866-8463-f873dddee0d4,,recording_initialized,Desktop,pt-BR,,localhost:5173,1751314462315,0197c279-f67a-7851-897b-e74211881cab,Chrome,/,1920,False,/,header-color-test,,0197c279-f66b-784d-9374-544fe02dfcb0,$direct,web,http://localhost:5173/,0,99,3,Matched condition set 1,Linux,$direct,0197c279-f66d-7866-8463-f873dddee0d4,active,,variant,variant,,180,trigger_disabled,156560,,pt,2025-06-30T20:14:22.314Z,False,1751314463.199,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",0197c279-f66c-7c67-b543-e35feeba6e50,False,True,$direct,False,,,,,0,folt5bf5kcc5x9bu,http://localhost:5173/,America/Sao_Paulo,699,1390,d31da61b-e62d-44a3-9092-c92ed06f0d61,191.186.8.99,2025-06-30T20:14:25.319Z,Rio das Ostras,Brazil,BR,South America,SA,28890,-22.4549,-41.9531,20,America/Sao_Paulo,RJ,Rio de Janeiro,GeoIP (0197c22f-56f1-0000-1ba5-11ec261b0717),2025-06-30 20:14:23.370000+00:00,188988,0197c279-f66d-7866-8463-f873dddee0d4,,2025-06-30 20:17:04.976000+00:00,$feature_flag_called,0197c279-f66d-7866-8463-f873dddee0d4,9cd6fbdb-16fd-54d2-bab3-5cd8ca888e28,http://localhost:5173/,web,variant,2025-06-30 20:14:23.370000+00:00
0197c241-ed2a-7ecb-a35b-e1467a295dc7,$feature_flag_called,header-color-test,1800000,phc_80IYU4IqrK9HQFrWkUQWj7Xoj6MLJgH5tm7X9YAwtB4,2025-05-24,1.256.0,trigger_disabled,http://localhost:5173/,1080,False,True,localhost:5173,,True,True,,7,trigger_disabled,134,0197c232-040e-7adf-b66e-6f7a6d976b8e,,recording_initialized,Desktop,pt-BR,,localhost:5173,1751309747213,0197c241-ec3f-7fdd-94b9-91db1a7a9523,Chrome,/,1920,False,/,header-color-test,,0197c232-040d-74a5-b134-12407341d846,localhost:5173,web,http://localhost:5173/,0,99,2,Matched condition set 1,Linux,http://localhost:5173/,0197c232-040e-7adf-b66e-6f7a6d976b8e,active,1042715,variant,variant,,180,trigger_disabled,156560,,pt,2025-06-30T19:13:09.535Z,False,1751310789.93,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",0197c232-040d-74a5-b134-12416209fa1a,False,True,localhost:5173,False,,,,,12393,pnhgd3xe4gd5crj5,http://localhost:5173/,America/Sao_Paulo,699,835,52d5d00b-9ffb-4ce7-af9b-e52a77ec2717,191.186.8.99,2025-06-30T19:13:13.167Z,Rio das Ostras,Brazil,BR,South America,SA,28890,-22.4549,-41.9531,20,America/Sao_Paulo,RJ,Rio de Janeiro,GeoIP (0197c22f-56f1-0000-1ba5-11ec261b0717),2025-06-30 19:13:10.149000+00:00,188988,0197c232-040e-7adf-b66e-6f7a6d976b8e,,2025-06-30 19:13:13.704000+00:00,$feature_flag_called,0197c232-040e-7adf-b66e-6f7a6d976b8e,4de91578-5351-5a3a-87d7-aaea1cceb29f,http://localhost:5173/,web,variant,2025-06-30 19:13:10.149000+00:00
0197c23d-119b-7f98-acfe-f698a111b37e,$feature_flag_called,header-color-test,1800000,phc_80IYU4IqrK9HQFrWkUQWj7Xoj6MLJgH5tm7X9YAwtB4,2025-05-24,1.256.0,trigger_disabled,http://localhost:5173/,1080,False,True,localhost:5173,,True,True,,7,trigger_disabled,134,0197c232-040e-7adf-b66e-6f7a6d976b8e,,recording_initialized,Desktop,pt-BR,,localhost:5173,1751309747213,0197c23d-10b7-728e-8eac-b4f98948c95e,Chrome,/,1920,False,/,header-color-test,,0197c232-040d-74a5-b134-12407341d846,localhost:5173,web,http://localhost:5173/,0,99,1,Matched condition set 1,Linux,http://localhost:5173/,0197c232-040e-7adf-b66e-6f7a6d976b8e,active,724362,control,control,,180,trigger_disabled,156560,,pt,2025-06-30T19:07:51.286Z,False,1751310471.579,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",0197c232-040d-74a5-b134-12416209fa1a,False,True,localhost:5173,False,,,,,12115,d4neea1is7grz686,http://localhost:5173/,America/Sao_Paulo,699,835,79cb2a32-2e65-42af-bd27-26446b6b96b7,191.186.8.99,2025-06-30T19:07:53.287Z,Rio das Ostras,Brazil,BR,South America,SA,28890,-22.4549,-41.9531,20,America/Sao_Paulo,RJ,Rio de Janeiro,GeoIP (0197c22f-56f1-0000-1ba5-11ec261b0717),2025-06-30 19:07:51.653000+00:00,188988,0197c232-040e-7adf-b66e-6f7a6d976b8e,,2025-06-30 19:07:53.459000+00:00,$feature_flag_called,0197c232-040e-7adf-b66e-6f7a6d976b8e,4de91578-5351-5a3a-87d7-aaea1cceb29f,http://localhost:5173/,web,control,2025-06-30 19:07:51.653000+00:00
0197c23a-50e8-785a-8ff7-b57306415c9e,$feature_flag_called,header-color-test,1800000,phc_80IYU4IqrK9HQFrWkUQWj7Xoj6MLJgH5tm7X9YAwtB4,2025-05-24,1.256.0,,http://localhost:5173/,1080,False,,localhost:5173,,True,False,,0,,134,0197c232-040e-7adf-b66e-6f7a6d976b8e,,,Desktop,pt-BR,,localhost:5173,1751309747213,0197c236-1ea8-70ad-b130-3d3048e6bbd4,Chrome,/,1920,False,/,,,0197c232-040d-74a5-b134-12407341d846,localhost:5173,web,http://localhost:5173/,0,99,,,Linux,http://localhost:5173/,0197c232-040e-7adf-b66e-6f7a6d976b8e,disabled,,,,,180,,,,pt,2025-06-30T19:00:16.160Z,False,1751310291.178,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",0197c232-040d-74a5-b134-12416209fa1a,False,False,localhost:5173,False,,,,,0,g2mgjmlo3dbfhtr9,http://localhost:5173/,America/Sao_Paulo,699,1390,cb37ba17-6d08-439d-9dd6-b4758ea198b9,191.186.8.99,2025-06-30T19:04:55.167Z,Rio das Ostras,Brazil,BR,South America,SA,28890,-22.4549,-41.9531,20,America/Sao_Paulo,RJ,Rio de Janeiro,GeoIP (0197c22f-56f1-0000-1ba5-11ec261b0717),2025-06-30 19:04:51.277000+00:00,188988,0197c232-040e-7adf-b66e-6f7a6d976b8e,,2025-06-30 19:04:55.798000+00:00,$feature_flag_called,0197c232-040e-7adf-b66e-6f7a6d976b8e,4de91578-5351-5a3a-87d7-aaea1cceb29f,http://localhost:5173/,web,,2025-06-30 19:04:51.277000+00:00
